Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,"It's My Life","Crush","Bon Jovi",2000-01-01,224493,84,false,adriankito200,2023-11-28T00:52:32Z,"glam metal,rock","Island Records",0.551,0.914,0,-4.063,0,0.0465,0.0263,0.0000135,0.347,0.543,119.994,4
spotify:track:7EQGXaVSyEDsCWKmUcfpLk,"Die Young","Warrior (Expanded Edition)","Kesha",2012-11-30,211920,83,false,adriankito200,2023-11-28T00:56:39Z,"","Kemosabe Records/RCA Records",0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,4
spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,"TiK ToK","Animal (Expanded Edition)","Kesha",2010-01-01,199693,87,false,adriankito200,2023-11-28T00:56:54Z,"","RCA Records Label",0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028,4
spotify:track:65YsalQBmQCzIPaay72CzQ,"Diamonds","Diamonds","Rihanna",2012-01-01,225200,66,false,adriankito200,2023-11-28T00:57:29Z,"","Def Jam Recordings",0.554,0.669,11,-6.041,0,0.0426,0.00108,0,0.138,0.405,91.993,4
spotify:track:02XnQdf7sipaKBBHixz3Zp,"Paparazzi","The Fame","Lady Gaga",2008-01-01,208306,84,true,adriankito200,2023-11-28T00:57:54Z,"art pop,pop","Streamline/Interscope",0.762,0.692,5,-3.973,0,0.0437,0.112,0,0.094,0.397,114.903,4
spotify:track:48td6xvpokdYwvbl3JIiXP,"Love Never Felt So Good","XSCAPE","Michael Jackson,Justin Timberlake",2014-05-09,246026,76,false,adriankito200,2023-11-28T01:09:42Z,"","Epic/MJJ",0.775,0.719,7,-6.212,0,0.0435,0.132,0.00000179,0.0662,0.712,117.513,4
spotify:track:4OyzSXRSadNQt5EMwASdap,"Todo Cambió","Todo Cambio","Camila",2006,193826,81,false,adriankito200,2023-11-28T01:16:32Z,"latin pop","Columbia",0.452,0.523,5,-6.453,1,0.0625,0.563,0,0.233,0.363,173.85,3
spotify:track:15AbuFJdFrbINydSMSqVhV,"Aléjate de Mí","Dejarte De Amar","Camila",2010-02-09,258532,79,false,adriankito200,2023-11-28T01:19:46Z,"latin pop","Columbia",0.464,0.536,1,-8.372,0,0.0472,0.159,0,0.0969,0.252,145.772,4
spotify:track:1qDrWA6lyx8cLECdZE7TV7,"Somebody That I Used To Know","Making Mirrors","Gotye,Kimbra",2011-01-01,244884,84,false,adriankito200,2023-11-28T01:20:40Z,"","Universal-Island Records Ltd.",0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,4
spotify:track:0apurjTA50AD8g2z4pL2SF,"Hello - Club Edit","The Annual Compilation 2012 (Deluxe Edition)","Martin Solveig,Dragonette",2012-01-01,305106,0,false,adriankito200,2023-11-28T18:15:40Z,"french house","+Mas Label",0.689,0.798,3,-5.343,1,0.0362,0.000777,0.00068,0.0362,0.386,128.007,4
spotify:track:1ZozJfi8u9cO2Ob8KwiwNT,"Higher","Human Clay","Creed",1999-01-01,316733,82,false,adriankito200,2023-11-28T18:43:57Z,"post-grunge","The Bicycle Music Company",0.459,0.83,2,-6.254,1,0.0364,0.0000515,0.00014,0.206,0.431,155.827,4
spotify:track:5rtpGGu3bPKsJEFjDGs63M,"Murder On The Dancefloor","Read My Lips","Sophie Ellis-Bextor",2001-01-01,229573,3,false,adriankito200,2023-11-30T15:05:18Z,"","Polydor Records",0.734,0.844,1,-5.357,0,0.0343,0.00346,0.0000181,0.333,0.823,117.306,4
spotify:track:6ECp64rv50XVz93WvxXMGF,"This Love","Songs About Jane: 10th Anniversary Edition","Maroon 5",2002,206200,87,false,adriankito200,2023-12-07T04:46:22Z,"pop","Interscope Records*",0.712,0.862,5,-4.612,0,0.0378,0.0525,0,0.093,0.809,95.051,4
spotify:track:5rgy6ghBq1eRApCkeUdJXf,"We Are Young (feat. Janelle Monáe)","Some Nights","fun.,Janelle Monáe",2012-02-14,250626,81,false,adriankito200,2023-12-08T15:34:43Z,"alternative r&b","Fueled By Ramen",0.378,0.638,10,-5.576,1,0.075,0.02,0.0000766,0.0849,0.735,184.086,4
