Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4odVs48WBfjEDrc1D7t5B9,"We're Going Home","Nation of Two","Vance Joy",2018-02-23,207906,58,false,204029,2019-10-08T21:40:05Z,"folk pop","Liberation Records",0.598,0.675,4,-5.422,0,0.0294,0.284,0.00000338,0.139,0.441,95.817,4
spotify:track:4Ce37cRWvM1vIGGynKcs22,"Starving","Starving","Hailee Steinfeld,Grey,Zedd",2016-07-22,181880,76,false,204029,2019-10-14T21:46:43Z,"edm","Universal Records",0.728,0.616,4,-4.238,1,0.0645,0.378,0,0.105,0.508,99.962,4
spotify:track:5Gu0PDLN4YJeW75PpBSg9p,"Let Me Go (with Alesso Florida Georgia Line & watt)","Let Me Go (with Alesso Florida Georgia Line & watt)","Hailee Steinfeld,Alesso,Florida Georgia Line,WATT",2017-09-08,174800,75,false,204029,2019-10-15T06:55:03Z,"edm,country,pop country,acoustic country","Universal Records",0.664,0.708,8,-4.154,1,0.0474,0.0337,0,0.0841,0.742,103.07,4
spotify:track:6l0Ky2PycJV1Bz88kFeVGL,"Capital Letters","Fifty Shades Freed (Original Motion Picture Soundtrack)","Hailee Steinfeld,BloodPop®",2018-02-09,219373,75,false,204029,2019-10-15T06:55:29Z,"","Republic/Universal/FSF",0.667,0.814,0,-5.529,1,0.0736,0.0337,0.00000827,0.0518,0.463,99.911,4
spotify:track:3QTDzwSkRW04FVPo6COm0H,"You're Such A","HAIZ","Hailee Steinfeld",2016-02-26,216333,60,false,204029,2019-10-15T06:55:40Z,"","Universal Records",0.62,0.696,11,-6.323,1,0.0997,0.00798,0.000001,0.113,0.705,176.028,4
spotify:track:2qxaR31Te4xDR2yO6LqM8z,"Rock Bottom","HAIZ","Hailee Steinfeld,DNCE",2016-02-26,198240,66,false,204029,2019-10-15T06:55:53Z,"","Universal Records",0.611,0.706,8,-5.036,1,0.0603,0.313,0,0.053,0.724,157.968,4
spotify:track:7ks6AZmFcm3Y6PGGxGSmlB,"Where Them Girls At (feat. Nicki Minaj & Flo Rida)","Nothing but the Beat (Ultimate Edition)","David Guetta,Flo Rida,Nicki Minaj",2012-12-07,194840,78,true,204029,2019-10-16T21:43:25Z,"edm,dance","Parlophone (France)",0.666,0.876,3,-3.078,1,0.0414,0.055,0,0.259,0.552,129.884,4
spotify:track:1Ser4X0TKttOvo8bgdytTP,"Come Get Her","SremmLife","Rae Sremmurd",2015-01-06,212946,75,true,204029,2019-10-17T10:21:32Z,"","Mike WiLL Made-It",0.689,0.564,2,-6.226,1,0.14,0.19,0,0.0721,0.122,185.03,4
spotify:track:2tnVG71enUj33Ic2nFN6kZ,"Ride It","Ride It","Regard",2019-07-26,157605,80,false,204029,2019-10-19T10:53:41Z,"","Ministry of Sound Recordings",0.88,0.751,7,-4.258,0,0.0874,0.177,0.0000643,0.106,0.884,117.948,4
spotify:track:2jiPHbFX5XM8TjaTfYJ0eo,"Stolen Dance","Sadnecessary","Milky Chance",2013-05-31,313684,6,false,204029,2019-10-19T10:55:13Z,"","Lichtdicht Records",0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,4
spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,"Hey Ya!","Speakerboxxx/The Love Below","Outkast",2003,235213,86,true,204029,2019-10-21T10:31:17Z,"southern hip hop,hip hop","Arista",0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,4
spotify:track:5619Ojc6t9evEEs3B7Drhe,"Shake It","Metro Station","Metro Station",2007-09-18,179946,70,false,204029,2019-10-22T11:03:42Z,"","Red Ink",0.618,0.955,4,-3.836,1,0.0798,0.00221,0.00000309,0.486,0.79,150.034,4
spotify:track:59zWQR2wQnSlkG4xTTwY9d,"Choir","Choir","Guy Sebastian",2019-05-31,171437,48,false,204029,2019-10-26T23:27:27Z,"","Sony Music Entertainment",0.653,0.709,5,-3.19,1,0.0656,0.0707,0,0.0878,0.671,87.01,4
spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,"hot girl bummer","hot girl bummer","blackbear",2019-08-23,185093,4,true,204029,2019-10-27T03:42:18Z,"","Beartrap/ Alamo/ Interscope Records",0.778,0.559,6,-7.109,0,0.0776,0.128,0,0.399,0.678,129.989,1
